Store Nbr	Store Name	Store Type Descr	Open Sunday Flag	Street Address	City	State	Zip Code	MDSE Major Zone	MDSE Sub Zone	Square Footage	Subdiv	Region	District	Open Date	Expansion Size SQFT	Expansion Open Date	Dry Run Date	Regular Warehouse	Assembly Warehouse	Circular Warehouse	Distribution Warehouse	WPM Warehouse	Store Prototype Nbr	IDC	IDC Desc	Port	Port Desc
886	FT DODGE IA	BASE STR Supercenter	Y	3036 1ST AVE S	FORT DODGE	IA	50501	80	85	191519	1N	51	414	03/11/1986	87042	08/19/1998	03/11/1986	6009	6009	6009	6009	6022	189	7078	ELWOOD STORAGE	3148	ELWOOD FLOW
887	PETAL MS	BASE STR Supercenter	Y	36 BYRD BLVD	PETAL	MS	39465	40	45	107356	1A	14	139	02/03/1987	40100	05/15/2002	02/03/1987	6011	6011	6011	6011	6005	107	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
888	BUTLER MO	BASE STR Supercenter	Y	400 S FRAN	BUTLER	MO	64730	60	65	99074	1N	40	334	06/17/1986	43926	01/11/2012	06/17/1986	6035	6035	6035	6035	6008	40	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
889	THOMASVILLE GA	BASE STR Supercenter	Y	15328 US HIGHWAY 19 S	THOMASVILLE	GA	31757	40	46	171709	1A	3	27	03/11/1986	65904	03/27/1996	03/11/1986	6010	6010	6010	6010	6014	159	6061	STATESBORO-STORAGE	3060	SAVANNAH-FLOW
890	ORLANDO (UNION PARK) FL	BASE STR Supercenter	Y	11250 E COLONIAL DR	ORLANDO	FL	32817	30	36	225336	1A	9	91	05/20/1986	104254	10/01/1999	05/20/1986	6020	6020	6020	6020	6014	208	6061	STATESBORO-STORAGE	3060	SAVANNAH-FLOW
891	STERLING IL	BASE STR Supercenter	Y	4115 E LINCOLN WAY	STERLING	IL	61081	70	75	205152	1N	25	279	02/03/1987	81922	03/18/1998	02/03/1987	6092	6092	6092	6092	6022	189	7078	ELWOOD STORAGE	3148	ELWOOD FLOW
892	ANKENY IA	BASE STR Supercenter	Y	1002 SE NATIONAL DR	ANKENY	IA	50021	70	75	206232	1N	51	413	03/11/1986	94569	09/15/1999	03/11/1986	6009	6009	6009	6009	6022	192	7078	ELWOOD STORAGE	3148	ELWOOD FLOW
893	LINDSAY OK	BASE STR Wal-Mart	Y	401 LINWOOD PLZ	LINDSAY	OK	73052	50	54	29808	1B	44	349	06/03/1986	0		06/03/1986	6068	6068	6068	6068	6008	30	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
894	TULSA,OK	BASE STR Supercenter	Y	6625 S MEMORIAL DR	TULSA	OK	74133	50	54	203819	1B	50	356	08/05/1986	107794	10/18/2006	08/05/1986	6094	6094	6094	6094	6008	195	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
895	CUBA, MO	BASE STR Wal-Mart	Y	100 OZARK DR	CUBA	MO	65453	60	65	29808	1N	40	336	07/01/1986	0		07/01/1986	6069	6069	6069	6069	6008	30	7078	ELWOOD STORAGE	3148	ELWOOD FLOW
896	GRAND PRARIE TX	BASE STR Supercenter	Y	2225 W INTERSTATE 20	GRAND PRAIRIE	TX	75052	40	44	224189	1B	5	49	09/02/1986	118412	06/20/2001	09/02/1986	6036	6036	6036	6036	6005	208	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
897	FT STOCKTON TX	BASE STR Supercenter	Y	2610 W DICKINSON BLVD	FORT STOCKTON	TX	79735	40	44	91250	1B	7	73	03/05/1986	91250	09/14/2011	03/05/1986	6012	6012	6012	6012	6008	50	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
898	PECOS TX	BASE STR Wal-Mart	Y	1903 S CEDAR ST	PECOS	TX	79772	40	44	41304	1B	7	73	05/20/1986	0		05/20/1986	6012	6012	6012	6012	6008	40	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
899	VALDOSTA GA	BASE STR Supercenter	Y	340 NORMAN DR	VALDOSTA	GA	31601	40	46	218610	1A	3	27	06/03/1986	123935	08/25/2004	06/03/1986	6010	6010	6010	6010	6014	192	6061	STATESBORO-STORAGE	3060	SAVANNAH-FLOW
900	CHILDRESS TX	BASE STR Supercenter	Y	2801 AVENUE F NW	CHILDRESS	TX	79201	50	54	99667	1B	44	70	06/03/1986	50968	09/20/2006	06/03/1986	6012	6012	6012	6012	6008	98	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
901	SEGUIN TX	BASE STR Supercenter	Y	550 SOUTH 123 BYPASS	SEGUIN	TX	78155	40	44	172005	1B	8	87	03/18/1986	68552	06/21/1995	03/18/1986	6016	6016	6016	6016	6005	150	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
902	GREENCASTLE IN	BASE STR Supercenter	Y	1750 INDIANAPOLIS RD	GREENCASTLE	IN	46135	70	75	183646	1F	23	251	03/04/1986	69013	05/16/2001	03/04/1986	6017	6017	6017	6017	6022	172	7078	ELWOOD STORAGE	3148	ELWOOD FLOW
903	JACKSON, MS	BASE STR Supercenter	Y	2711 GREENWAY DR	JACKSON	MS	39204	40	45	200084	1A	14	140	04/29/1986	103161	10/29/1997	04/29/1986	6011	6011	6011	6011	6005	189	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
904	FOLEY AL	BASE STR Supercenter	Y	2200 S MCKENZIE ST	FOLEY	AL	36535	30	35	180943	1A	1	1	01/21/1986	55205	10/20/1993	01/21/1986	6011	6011	6011	6011	6005	167	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
905	LONGMONT CO	BASE STR Supercenter	Y	2285 EAST KEN PRATT BLVD	LONGMONT	CO	80504	70	73	206980	1M	47	379	06/10/1986	86482	03/02/2011	06/10/1986	6019	6019	6019	6019	6029	114	6060	SOUTHGATE-STORAGE	3020	SOUTHGATE-FLOW
906	GALLUP NM	BASE STR Supercenter	Y	1650 W MALONEY AVE	GALLUP	NM	87301	60	63	221941	1M	46	384	07/15/1986	102510	05/19/1999	07/15/1986	6012	6012	6012	6012	6008	208	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
907	FORSYTH GA	BASE STR Supercenter	Y	180 N LEE ST	FORSYTH	GA	31029	40	46	151437	1A	3	32	04/29/1986	41304	03/17/2010	04/29/1986	6010	6010	6010	6010	6014	143	6061	STATESBORO-STORAGE	3060	SAVANNAH-FLOW
908	ORLANDO (SW) FL	BASE STR Supercenter	Y	8101 S JOHN YOUNG PKWY	ORLANDO	FL	32819	30	36	222897	1A	9	90	07/15/1986	106030	05/19/1999	07/15/1986	6020	6020	6020	6020	6014	208	6061	STATESBORO-STORAGE	3060	SAVANNAH-FLOW
909	CHALMETTE LA	BASE STR Supercenter	Y	8101 W JUDGE PEREZ DR	CHALMETTE	LA	70043	30	35	174614	1A	13	125	02/03/2010	0		02/03/2010	6048	6048	6048	6048	6005	143	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
910	LAKE GENEVA WI	BASE STR Supercenter	Y	201 S EDWARDS BLVD	LAKE GENEVA	WI	53147	80	85	188249	1N	53	442	03/04/1986	92241	05/19/2004	03/04/1986	7039	7039	7039	7039	6022	173	7078	ELWOOD STORAGE	3148	ELWOOD FLOW
911	HARVEY (NO-S) LA	BASE STR Supercenter	Y	4810 LAPALCO BLVD	MARRERO	LA	70072	30	35	221802	1A	13	128	06/10/1986	114173	04/16/2003	06/10/1986	6048	6048	6048	6048	6005	208	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
912	NEW ORLEANS (EAST) LA	BASE STR Supercenter	Y	6000 BULLARD AVE	NEW ORLEANS	LA	70128	30	35	181992	1A	13	125	06/11/2014	0		06/11/2014	6048	6048	6048	6048	6005	133	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
913	DECORAH IA	BASE STR Supercenter	Y	1798 OLD STAGE RD	DECORAH	IA	52101	80	85	184435	1N	52	425	03/18/1986	73999	01/28/2004	03/18/1986	6009	6009	6009	6009	6022	173	7078	ELWOOD STORAGE	3148	ELWOOD FLOW
914	CASSVILLE MO	BASE STR Supercenter	Y	1401 OLD EXETER ROAD	CASSVILLE	MO	65625	50	55	159074	1B	42	322	07/08/1986	45638	03/22/2006	07/08/1986	6094	6094	6094	6094	6008	145	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
915	STAFFORD/MISSOURI CITY TX	BASE STR Supercenter	Y	11210 W AIRPORT BLVD	STAFFORD	TX	77477	30	34	219893	1B	6	62	08/05/1986	126598	10/27/1999	08/05/1986	7036	7036	7036	7036	6005	208	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
